16781312,-0.00,0.00,1.00,1.00,0.20,-0.09,0.01,19.08,1029.24
16781345,-0.02,0.00,1.00,1.00,0.01,0.89,15.10,19.10,1029.26
16781378,-0.02,0.18,0.95,0.97,61.16,47.50,-44.01,19.10,1029.22
16781411,-0.19,0.19,0.92,0.95,-9.05,-31.40,0.07,19.12,1029.22
16781444,-0.02,0.16,0.89,0.90,-10.79,9.49,-69.63,19.10,1029.18
16781477,-0.18,0.22,0.98,1.02,-11.46,4.05,6.21,19.11,1029.22
16781510,-0.12,0.07,1.04,1.05,-8.76,5.01,-4.16,19.11,1029.21
16781543,-0.15,-0.20,0.89,0.92,-33.06,10.00,-26.21,19.09,1029.20
16781576,-0.10,-0.24,0.96,0.99,21.14,-4.62,5.79,19.10,1029.23
16781609,-0.12,-0.13,0.95,0.96,15.08,3.35,16.92,19.10,1029.26
16781642,-0.14,0.09,0.90,0.91,8.75,-2.08,107.82,19.07,1029.22
16781675,-0.07,-0.06,1.09,1.10,-20.99,-0.74,22.94,19.05,1029.24
16781708,0.01,0.00,1.00,1.00,0.37,0.28,0.25,19.06,1029.27
16781741,0.01,0.01,1.00,1.00,-0.09,0.04,0.15,19.08,1029.23
16781774,0.01,0.01,1.00,1.00,-0.06,0.02,-0.08,19.08,1029.25
16781807,-0.02,-0.00,1.00,1.00,-0.02,-0.15,-12.46,19.09,1029.26
16781840,0.02,0.00,1.00,1.00,-0.07,-0.01,0.04,19.09,1029.25
16781873,0.01,0.10,1.02,1.02,-53.74,-42.81,133.82,19.10,1029.27
16781906,0.02,-0.00,1.00,1.00,-0.01,0.02,0.10,19.11,1029.29
16781939,0.08,-0.10,1.01,1.02,-1.77,1.54,-0.81,19.12,1029.27
16781972,0.02,0.02,1.00,1.00,-0.10,-0.00,-0.65,19.13,1029.26
16782005,0.02,-0.01,1.00,1.00,-0.05,-0.03,0.04,19.14,1029.25
16782038,0.02,-0.00,1.00,1.00,-0.06,0.01,0.03,19.15,1029.30
16782071,0.02,-0.00,1.00,1.00,-0.04,0.01,0.03,19.16,1029.24
16782104,0.02,-0.00,1.00,1.00,-0.07,-0.01,0.03,19.17,1029.27
16782137,0.02,-0.00,1.00,1.00,-0.04,0.04,0.02,19.18,1029.26
16782170,0.02,-0.00,1.00,1.00,-0.04,-0.00,0.00,19.20,1029.27
16782203,0.02,-0.00,1.00,1.00,-0.05,0.02,0.00,19.21,1029.27
16782236,0.02,-0.00,1.00,1.00,-0.09,0.07,0.02,19.21,1029.26
16782269,0.02,-0.00,1.00,1.00,-0.03,0.01,-0.02,19.23,1029.22
16782302,0.02,0.00,1.00,1.00,-0.05,0.02,-0.01,19.25,1029.26
16782335,0.02,-0.00,1.00,1.00,-0.07,-0.01,0.00,19.26,1029.23
16782368,0.02,-0.00,1.00,1.00,-0.04,0.01,0.00,19.27,1029.22
16782401,0.02,-0.01,1.00,1.00,-0.04,0.01,0.02,19.28,1029.23
16782434,0.02,-0.01,1.00,1.00,-0.17,-0.08,0.64,19.30,1029.26
16782467,0.02,0.00,1.00,1.00,-0.07,0.01,-0.12,19.32,1029.26
16782500,0.02,-0.02,1.00,1.00,-0.05,0.04,4.11,19.31,1029.22
16782533,0.02,-0.01,1.00,1.00,-0.08,-0.03,-0.01,19.34,1029.23
16782566,0.02,-0.00,1.00,1.00,0.78,0.49,-9.14,19.36,1029.23
16782599,0.02,0.00,1.00,1.00,-0.05,0.02,-0.01,19.38,1029.25
